A0;A1;A2;A3;T0;T1;T2;T3;
0.1;0.1;0.1;0.1;0.0;0.0;0.0;-0.023009711818284616;
0.0;0.0;0.0;0.7;0.006902913545485385;0.0;0.0;-0.13805827090970768;
0.1;0.1;0.1;1.0;0.023009711818284616;0.0023009711818284618;0.0;-0.2945243112740431;
0.0;0.0;0.0;0.7;0.04141748127291231;0.006902913545485385;0.0;-0.4555922940020355;
0.1;0.1;1.0;0.1;0.05292233718205462;0.009203884727313847;0.0;-0.6051554208208855;
0.0;0.0;0.0;0.7;0.05522330836388308;0.011504855909142308;0.0;-0.7248059222759655;
0.1;1.0;0.1;0.1;0.05522330836388308;0.011504855909142308;0.0;-0.8122428271854469;
0.0;0.0;0.0;0.7;0.05522330836388308;0.011504855909142308;0.0;-0.86746613554933;
1.0;0.1;0.1;0.1;0.05522330836388308;0.011504855909142308;0.0;-0.8927768185494431;
0.0;0.0;0.0;0.7;0.05522330836388308;0.011504855909142308;0.0046019423636569235;-0.8950777897312716;
0.1;0.1;1.0;1.0;0.05522330836388308;0.011504855909142308;0.009203884727313847;-0.8950777897312716;
0.0;0.0;0.0;0.7;0.05522330836388308;0.011504855909142308;0.01380582709097077;-0.8950777897312716;
0.1;1.0;0.1;1.0;0.05752427954571154;0.01380582709097077;0.018407769454627694;-0.8950777897312716;
0.0;0.0;0.0;0.7;0.05982525072754001;0.016106798272799233;0.023009711818284616;-0.8950777897312716;
1.0;0.1;0.1;1.0;0.06442719309119693;0.020708740636456155;0.025310683000113077;-0.8950777897312716;
0.0;0.0;0.0;0.7;0.06902913545485384;0.020708740636456155;0.025310683000113077;-0.8950777897312716;
1.0;1.0;0.1;0.1;0.07133010663668231;0.020708740636456155;0.025310683000113077;-0.8950777897312716;
0.0;0.0;0.0;0.7;0.07133010663668231;0.020708740636456155;0.025310683000113077;-0.8950777897312716;
1.0;0.1;1.0;0.1;0.07133010663668231;0.020708740636456155;0.025310683000113077;-0.8950777897312716;
0.0;0.0;0.0;0.7;0.07133010663668231;0.020708740636456155;0.025310683000113077;-0.8950777897312716;
0.1;1.0;1.0;0.1;0.07133010663668231;0.020708740636456155;0.025310683000113077;-0.8950777897312716;
0.0;0.0;0.0;0.7;0.07133010663668231;0.020708740636456155;0.025310683000113077;-0.8950777897312716;
0.1;1.0;1.0;1.0;0.07133010663668231;0.020708740636456155;0.025310683000113077;-0.8950777897312716;
0.0;0.0;0.0;0.7;0.07133010663668231;0.020708740636456155;0.025310683000113077;-0.8950777897312716;
1.0;0.1;1.0;1.0;0.07133010663668231;0.020708740636456155;0.025310683000113077;-0.8950777897312716;
0.0;0.0;0.0;0.7;0.07133010663668231;0.020708740636456155;0.025310683000113077;-0.8950777897312716;
1.0;1.0;0.1;1.0;0.07133010663668231;0.020708740636456155;0.025310683000113077;-0.8950777897312716;
0.0;0.0;0.0;0.7;0.07133010663668231;0.020708740636456155;0.025310683000113077;-0.8950777897312716;
1.0;1.0;1.0;0.1;0.07133010663668231;0.020708740636456155;0.025310683000113077;-0.8950777897312716;
0.0;0.0;0.0;0.7;0.07133010663668231;0.020708740636456155;0.025310683000113077;-0.8950777897312716;
1.0;1.0;1.0;1.0;0.07133010663668231;0.020708740636456155;0.025310683000113077;-0.8950777897312716;
