scorer,,,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan,Nathan
bodyparts,,,Ground,Ground,Endpoint,Endpoint,hMax,hMax,vMax,vMax,Joint1,Joint1,Joint2,Joint2,Joint3,Joint3,Bone1,Bone1,Bone2,Bone2,predEndpoint,predEndpoint
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2.5cmBones_run_no_1,img0041.png,766.0858173355455,197.720916403906,309.1414554772091,577.2227938227431,333.849825174021,189.61421869522417,698.7304438292133,611.9644292362398,668.6059757397359,218.59834545031708,509.3962605978646,303.2719538707124,393.431288854265,425.8978590452524,590.3768208322373,248.8361893687382,448.95910692598585,365.27681538812584,346.9105137971284,499.2709322706199
labeled-data,2.5cmBones_run_no_1,img0042.png,766.0858173355455,197.720916403906,310.4161761697997,579.7722352079243,333.849825174021,189.61421869522417,698.7304438292133,611.9644292362398,668.6059757397359,218.59834545031708,509.3962605978646,303.2719538707124,392.7419390625424,427.96590842042036,590.3768208322373,248.8361893687382,448.95910692598585,365.27681538812584,348.84775314631725,497.33369292143095
labeled-data,2.5cmBones_run_no_1,img0102.png,766.0858173355455,197.720916403906,314.24033824757146,582.3216765931054,333.849825174021,189.61421869522417,698.7304438292133,611.9644292362398,668.6059757397359,218.59834545031708,511.633000697464,303.2719538707124,393.431288854265,431.0679824831723,590.3768208322373,255.12196891694492,448.95910692598585,365.27681538812584,348.84775314631725,502.4996645192681
labeled-data,2.5cmBones_run_no_1,img0133.png,766.0858173355455,197.720916403906,309.1414554772091,582.3216765931054,333.849825174021,189.61421869522417,698.7304438292133,611.9644292362398,669.6400004273199,222.734444200653,507.718705523165,303.2719538707124,394.465313541849,432.1020071707562,595.0911554933923,251.97907914284156,448.95910692598585,365.27681538812584,348.84775314631725,501.8539180695385
labeled-data,2.5cmBones_run_no_1,img0204.png,766.0858173355455,197.720916403906,314.24033824757146,581.0469559005148,333.849825174021,189.61421869522417,698.7304438292133,611.9644292362398,669.6400004273199,222.734444200653,509.11666808541463,304.1107314080622,394.465313541849,433.13603185834023,595.0911554933923,251.97907914284156,448.95910692598585,365.27681538812584,348.84775314631725,498.62518582089024
labeled-data,2.5cmBones_run_no_1,img0500.png,764.0177679603776,204.61441432113247,314.24033824757146,581.0469559005148,333.849825174021,189.61421869522417,698.7304438292133,611.9644292362398,669.6400004273199,222.734444200653,509.11666808541463,304.1107314080622,392.7419390625424,433.13603185834023,585.6624861710822,251.97907914284156,448.95910692598585,365.27681538812584,350.7849924955062,501.85391806953845
labeled-data,2.5cmBones_run_no_1,img0577.png,764.0177679603776,202.54636494596454,314.24033824757146,581.0469559005148,333.849825174021,189.61421869522417,698.7304438292133,611.9644292362398,669.6400004273199,222.734444200653,511.07381567256414,304.949508945412,392.7419390625424,430.0339577955883,590.3768208322373,251.97907914284156,448.95910692598585,365.27681538812584,352.7222318446951,501.8539180695385
labeled-data,2.5cmBones_run_no_1,img0592.png,764.0177679603776,202.54636494596454,311.69089686239033,582.3216765931054,333.849825174021,189.61421869522417,698.7304438292133,611.9644292362398,664.4698769894001,222.734444200653,511.07381567256414,304.949508945412,392.7419390625424,430.0339577955883,590.3767915304941,251.9790658114005,448.95910692598585,365.27681538812584,350.78499249550623,501.8539180695385
labeled-data,2.5cmBones_run_no_1,img0866.png,764.0177679603776,202.54636494596454,379.2510935696917,628.2116215263668,333.849825174021,189.61421869522417,698.7304438292133,611.9644292362398,668.6059757397359,222.734444200653,522.5371086830114,321.72505969240785,426.5200788569522,461.05469842310754,598.484974391542,262.8831737969478,471.60610043443023,392.956474120669,399.21597622522995,545.118930201425
labeled-data,2.5cmBones_run_no_1,img0933.png,764.0177679603776,202.54636494596454,383.92506944252386,630.7610629115479,333.849825174021,189.61421869522417,698.7304438292133,611.9644292362398,670.3293502190426,228.93859232615688,527.84936641956,327.5965024538564,429.96682781556547,466.2248218610274,602.958454590741,267.07706148369675,476.638765658529,397.98913934476775,401.15321557441894,546.4104231008844
labeled-data,2.5cmBones_run_no_1,img1012.png,756.7795951472897,202.54636494596454,391.9983004955976,635.8599456819104,333.849825174021,189.61421869522417,698.7304438292133,611.9644292362398,670.3293502190426,227.90456763857287,528.1090506940494,328.0492178159659,435.5388370489619,473.7216270697279,600.4421219786916,267.07706148369675,477.19795068342887,400.50547195681713,412.7766516695526,552.2221411484512
labeled-data,2.5cmBones_run_no_1,img1345.png,756.7795951472897,202.54636494596454,504.5928385178044,676.2405981979944,333.849825174021,189.61421869522417,698.7304438292133,611.9644292362398,674.4654489693785,231.00664170132478,557.2065802268028,348.8455334000511,512.7460137218986,513.7039149896416,613.0237850389385,275.46483685719465,530.8797130738155,429.0239082267101,505.7641404306222,593.5499139311487
labeled-data,2.5cmBones_run_no_1,img1434.png,744.371298896282,202.54636494596454,537.3106696276295,688.9878051239002,333.849825174021,189.61421869522417,698.7304438292133,611.9644292362398,677.9121979279917,235.1427404516607,568.6698732372499,356.9537162610991,536.8732564321913,523.0101371778973,619.7340053377368,277.1423919318943,548.4940413581612,438.25046113755775,536.7599700176454,606.4648429257418
