EX T1,EX T2,EX T3,EX T4,Actual X,Actual Y,Calc X,Calc Y,Dif X,Dif Y,Dist
1.4243,2.4344,3.5366,2.2642,3.934950051,5.873710959,-30.09238946,-30.0244909,-34.02733951,-35.89820186,49.46251844
1.1022,1.3047,3.0787,2.3125,-10.64983621,0.796676708,-41.04660891,-28.17501258,-30.3967727,-28.97168929,41.99193459
0.2117,0.3152,1.781,2.3033,-38.93062064,-5.686706617,-42.6551119,-20.07268959,-3.724491257,-14.38598297,14.86029411
1.0561,1.942,1.682,2.7197,-34.32642235,-3.794289468,-35.70510368,-18.6943563,-1.378681329,-14.90006683,14.96371457
1.4036,2.8095,3.3594,2.5173,-3.34768186,6.160799912,-29.16934766,-29.17036569,-25.8216658,-35.3311656,43.76128069
0.0391,2.515,0.6673,2.7128,-0.023708518,-2.080305969,-18.1602062,-11.01895873,-18.13649768,-8.938652762,20.21959597
0.0092,1.4473,3.0902,2.6254,-3.764142137,-3.857367437,-36.81510262,-29.48798873,-33.05096048,-25.63062129,41.82457096
0,0.2853,0.4602,0.4211,-9.786612117,-5.141318859,-5.136541064,-4.415612354,4.650071053,0.725706505,4.706358542
0,2.6234,1.4657,0.5361,15.71930128,7.569047599,18.48303182,-9.585501591,2.763730536,-17.15454919,17.3757522
0.1012,1.2586,1.4496,1.6176,-9.95143485,-6.600368008,-17.51251711,-14.44294718,-7.561082263,-7.842579176,10.89385208
0.0391,0.1657,1.185,1.6498,-23.0974534,-9.34658614,-30.2014706,-13.82019551,-7.104017199,-4.473609368,8.395251107
1.7487,3.5251,3.6539,0.3682,96.57046658,84.1273576,13.17457847,-23.38945873,-83.39588812,-107.5168163,136.0688794
-0.0805,0.1588,0.826,2.8831,-41.82801835,-10.04562764,-49.55222401,-15.2984248,-7.724205654,-5.252797162,9.341050852
0.2784,2.1997,0.7823,2.2043,-0.622577784,-4.02789569,-15.35114176,-10.44903946,-14.72856398,-6.421143774,16.06741062
0.3889,1.7188,1.2425,2.9567,0.14126794,-4.188372991,-36.3662753,-16.73622134,-36.50754324,-12.54784835,38.60374608
1.063,0.6443,1.3875,0.0345,-4.927577404,-4.796666958,-4.571017805,-9.151639343,0.356559599,-4.354972385,4.36954451
1.2793,1.1022,2.041,2.9913,3.361714457,-2.378611182,-53.35465013,-23.02018677,-56.71636459,-20.64157559,60.35578394
0.1266,0,1.7717,2.5219,-6.572663159,-4.102366692,-49.63106939,-21.08737826,-43.05840623,-16.98501156,46.2873305
0.7662,0.3267,1.7119,2.6484,-45.37218103,-3.905572449,-52.25066787,-20.5072169,-6.878486847,-16.60164445,17.97020255
0.1473,0.0713,0,0,-10.16711285,-3.940217862,-0.191937994,0.124764109,9.975174857,4.064981972,10.77163831
0.8283,0,0,0.3543,-5.07639681,-0.823428251,-12.08232661,-0.889312273,-7.005929799,-0.065884022,7.00623958
0.1795,0.1887,0.5453,2.2043,-4.122710992,-4.171049706,-38.54457827,-10.91909403,-34.42186728,-6.74804432,35.07707299
1.2103,2.2964,0.6765,0.2071,21.87819467,11.92890164,13.76622126,-2.730438839,-8.111973405,-14.65934048,16.75411519
0,1.537,1.3162,1.1735,-6.588207294,-5.744991882,-5.33161151,-11.75365789,1.256595784,-6.008666009,6.138656219
0,1.0792,2.5311,1.2057,-3.437548027,-3.423224685,-15.15186718,-21.17527534,-11.71431915,-17.75205066,21.26876996
1.307,2.8141,3.3318,3.1983,-10.65973465,2.256815212,-40.04468193,-31.2269926,-29.38494728,-33.48380781,44.54930429
0,1.4059,0.5154,2.0801,-38.28046625,-9.694258011,-20.11712049,-9.04699258,18.16334576,0.647265431,18.17487502
0.0092,0.306,0,0.0322,0.26921996,-3.566547763,3.126305708,0.226095453,2.857085748,3.792643216,4.748376726
0.1749,1.728,1.8431,2.752,-40.94753813,-8.813562794,-32.99554662,-20.48850268,7.95199151,-11.67493988,14.12580583
0.6696,1.5992,2.0203,0.6328,13.14289203,7.168105625,-2.23280057,-14.8111503,-15.3756926,-21.97925592,26.82348996
0.6765,0.2301,0.0138,1.1735,-14.39409696,-7.180852843,-22.29936595,-3.475242085,-7.905268996,3.705610759,8.730683192
0.0184,0.2301,0.8813,0.497,-5.321814486,-5.333863244,-8.519908203,-7.776175102,-3.198093717,-2.442311858,4.024014244
0.5683,2.439,1.0792,3.1109,-39.96223293,-7.551715023,-31.00530122,-15.22312233,8.956931715,-7.671407307,11.79309611
0,0.0506,0.0736,0.0483,-2.225465864,-4.67971493,-0.433010208,-0.638470534,1.792455656,4.041244396,4.420922251
0.405,0.1081,0.8422,0.8721,-3.415514662,-5.271407351,-19.1425766,-8.725158332,-15.72706194,-3.45375098,16.10182826
0.7248,1.5486,2.7658,2.8969,-37.84236233,-5.724297589,-44.4405806,-27.67790268,-6.598218269,-21.95360509,22.92372702
0.4556,0.4878,0.405,2.1077,-6.294121336,-4.126063605,-34.79420248,-9.172111305,-28.50008114,-5.0460477,28.94334505
0,0,0.069,0.711,-26.55992838,-9.16481406,-12.43715147,-2.829875589,14.12277691,6.334938471,15.47851004
1.017,2.4528,2.3125,0.405,24.20265063,15.56701833,8.744687031,-15.15730017,-15.4579636,-30.7243185,34.39378412
0.122,2.1652,1.1827,0.5775,8.517006044,-0.912160736,12.13155775,-8.117509922,3.614551702,-7.205349185,8.061143895
1.3461,1.774,1.8707,2.4873,-8.956484735,-1.510115942,-36.43006902,-19.38931064,-27.47358428,-17.8791947,32.77900908
0.1035,1.0861,0.6512,2.4367,-41.40934454,-9.179467835,-31.32378551,-11.51083036,10.08555902,-2.331362529,10.35150965
0.1104,0,0,1.5785,-4.016663899,-5.259975572,-27.94840066,-5.133804524,-23.93173676,0.126171048,23.93206935
0.9227,1.1551,1.468,0.9227,-3.212076592,-1.907733366,-12.82211495,-12.14289954,-9.610038355,-10.23516618,14.03963902
