EX T1,EX T2,EX T3,EX T4,Actual X,Actual Y,Calc X,Calc Y,Dif X,Dif Y,Dist
0.9848,1.5601,2.332,2.3424,-1.132230217,-84.43277584,-28.86214441,-15.23652902,-27.72991419,69.19624682,74.54574914
0.9457,0.9549,2.3677,2.6162,35.51859136,-80.67295535,-23.85557923,-15.24190122,-59.37417059,65.43105413,88.35448476
0.3912,0.2531,1.6935,2.8095,35.68784096,-80.31579849,-21.06929894,-12.95610643,-56.7571399,67.35969206,88.08348906
0.8399,1.5324,1.4243,3.3433,-33.06081145,-85.46315,-38.1040212,-12.46560256,-5.043209745,72.99754745,73.17155115
1.0538,1.873,2.3286,3.012,35.38256387,-80.4877771,-37.47156612,-16.52068148,-72.85413,63.96709562,96.95108859
0.2278,2.0686,0.8399,3.6539,38.78183825,-79.34380289,-51.64504939,-12.70398947,-90.42688764,66.63981342,112.3293672
0.0736,1.1459,2.4758,3.4353,38.79668333,-79.6441183,-38.31176551,-20.60624843,-77.10844884,59.03786987,97.11427784
0,0.306,0.5522,1.0032,17.64016774,-87.31710773,-11.12678905,-5.124314183,-28.76695679,82.19279355,87.08153142
0,1.6935,1.0584,0.856,27.89813327,-81.34994743,-26.46780226,-9.462413231,-54.36593553,71.8875342,90.13030855
0.1519,1.162,1.3438,2.1905,-12.41404228,-92.54371234,-29.19229639,-12.04711145,-16.77825411,80.49660089,82.22659282
0.1358,0.1933,1.1666,2.2503,-19.26987983,-90.1772137,-18.10230977,-9.965394765,1.167570058,80.21181893,80.22031611
1.1022,2.248,2.2918,0.5752,35.72623523,-80.22261819,-22.65515472,-12.49406903,-58.38138995,67.72854916,89.41780059
-0.0529,0.382,1.0078,3.0603,-37.69871298,-91.48046226,-28.14248134,-11.40122014,9.55623164,80.07924212,80.64742142
0.3959,1.774,0.8145,2.9038,32.06025764,-81.89430447,-41.07605415,-10.29882678,-73.13631179,71.59547768,102.3466293
0.4579,1.5025,1.1827,3.578,35.99157381,-80.52219274,-42.32380111,-12.87697102,-78.31537492,67.64522172,103.4851389
0.9319,0.5154,1.2609,0.1266,47.61209501,-67.83570195,-0.012525934,-4.434553316,-47.62462095,63.40114863,79.29571343
0.8168,0.8491,1.7142,3.3548,-31.29430508,-85.11632135,-29.76648511,-13.25291855,1.52781997,71.86340281,71.87964174
0.3705,0,1.5877,3.2214,28.71651412,-82.12619665,-21.43802938,-12.82050378,-50.1545435,69.30569287,85.54973581
0.7271,0.2623,1.567,3.4837,36.49061426,-80.12802336,-24.34039242,-12.21876227,-60.83100668,67.90926108,91.17060444
0.4165,0.0828,0.0023,0.0023,37.9208845,-78.34447357,1.742901056,1.369331616,-36.17798345,79.71380518,87.53934671
0.6811,0,0,0.359,34.95035864,-77.81636196,1.714169033,1.833553045,-33.2361896,79.649915,86.30616003
0.2485,0.2278,0.6328,2.8601,30.87512386,-81.31939104,-23.00714445,-7.728453058,-53.8822683,73.59093799,91.20814103
0.9595,1.544,0.6167,0.2876,44.51532898,-71.29339038,-14.18524518,-2.443602519,-58.70057416,68.84978786,90.47679644
0,1.2632,1.2103,1.4933,5.189765725,-88.9499985,-26.08521319,-10.8102879,-31.27497892,78.1397106,84.16613737
0.0322,0.8537,1.8638,1.6705,-0.428691918,-89.79686107,-21.70975789,-14.02660518,-21.28106598,75.77025589,78.70206762
0.7478,1.9144,2.3309,3.7069,-26.21178505,-86.20372181,-45.45574657,-18.8677975,-19.24396152,67.33592432,70.03182675
0.1104,1.376,0.6834,3.081,-35.21977017,-90.13776226,-39.61958807,-10.38560966,-4.399817901,79.75215261,79.87342639
0.1012,0.2945,0,0.1289,36.50450644,-80.17256113,-3.929887556,-0.243255915,-40.43439399,79.92930521,89.57474002
0.1726,1.3254,1.5071,3.2237,36.4409492,-80.09109002,-39.00756598,-14.83689002,-75.44851518,65.2542,99.75263937
0.6949,1.1988,1.7303,1.0469,26.72004223,-79.16403417,-16.73905588,-10.31233358,-43.45909811,68.8517006,81.42020562
0.6604,0.3935,0.2554,1.6291,4.668925309,-87.13855151,-12.96174731,-2.313224547,-17.63067262,84.82532696,86.6381943
0.1611,0.2416,0.9687,0.6719,17.75625235,-86.09111961,-6.319553983,-6.172524761,-24.07580634,79.91859485,83.46631808
0.4786,1.8661,0.9825,3.4722,-35.75552464,-86.38495506,-45.96221081,-12.00742655,-10.20668617,74.37752851,75.07458418
0,0.1404,0.122,0.1749,30.82268854,-82.83698946,-2.979869815,-1.148330544,-33.80255836,81.68865891,88.40616464
0.5867,0.1473,0.7961,1.0285,28.95446335,-82.23292665,-5.28154585,-4.185227331,-34.2360092,78.04769932,85.22644951
0.5798,1.093,2.0548,3.1316,32.90153253,-82.06056309,-32.27836737,-15.90444709,-65.17989991,66.156116,92.87115287
