Ground X,Ground Y,Likelihood
905.536377,692.7571869,0.844412923
hMax X,hMax Y,Likelihood
190.5690808,705.9335866,0.756957531
vMax X,vMax Y,Likelihood
901.8083771,1691.552667,0.805001438
Endpoint X,Endpoint Y,Likelihood
627.0767497,1105.776196,0.85148561
696.2319038,1132.113153,0.852740824
830.3279386,1165.745502,0.791958213
808.4966936,1155.928647,0.799401045
661.608043,1104.286931,0.839329898
645.8471066,1147.037411,0.852903247
663.5827291,1156.255862,0.823692918
692.1388445,1162.91632,0.841091394
571.2001252,1096.98169,0.601560831
692.9203672,1170.485092,0.856312275
755.2534671,1184.731013,0.843285143
187.8366191,699.8378421,0.096542716
844.066226,1188.357269,0.749939919
648.6867023,1157.140472,0.823433816
645.064855,1157.972943,0.829369903
669.0992683,1161.128449,0.804363847
629.7948009,1148.58486,0.842498779
676.8995992,1157.526788,0.815080762
860.8712111,1156.505924,0.591923356
693.943025,1156.685646,0.845348835
669.8049097,1140.517397,0.788252771
665.2829175,1157.883079,0.804009557
541.9971452,1074.365083,0.791867852
676.9733032,1166.047855,0.823926926
662.034152,1154.00376,0.856646419
696.2788382,1124.53873,0.822036922
827.2451696,1186.53455,0.725650251
644.4581583,1154.747244,0.840790629
839.8913451,1181.965971,0.764155626
583.4164152,1099.061564,0.756189227
713.985673,1173.496339,0.829955578
670.968581,1163.915138,0.813097537
835.2194266,1175.420175,0.5761078
656.2869489,1160.521764,0.830918491
661.9296787,1163.59115,0.834248066
825.1678581,1165.940504,0.713736832
675.5788666,1157.649715,0.805625975
771.6711222,1183.788076,0.690696537
530.9755157,1055.492466,0.576649964
605.3504945,1140.977694,0.797509909
688.2027164,1144.079568,0.842430115
842.0810442,1183.864092,0.731815219
664.7800851,1163.531848,0.835170269
660.9650577,1146.142196,0.830400527
645.7346904,1155.524502,0.847421587
