coords,ground x,ground y,likelihood,ep x,ep y,likelihood,hmax x,hmax y,likelihood,vmax x,vmax y,likelihood
0,874.9021997,726.8602996,0.751741171,681.9979916,1180.651569,0.688283563,191.7197566,747.2658734,0.685617566,863.3439031,1671.254621,0.911568999
1,674.1449995,1172.378124,0.121970326,679.4182593,1179.83101,0.813166678,879.3670036,716.2618728,0.229776382,855.527028,1665.759697,0.431201249
2,874.9402914,726.8424876,0.753418684,681.8092356,1180.688906,0.679884553,191.7058992,747.2742991,0.683781505,863.3301382,1671.105878,0.913575888
3,874.936245,726.8411024,0.753405213,681.8403721,1180.640401,0.684608102,191.7988257,747.4046121,0.682897687,863.3495584,1671.195253,0.912182331
4,674.1978438,1172.282142,0.119724572,679.4427081,1180.032683,0.812185884,879.377737,716.2592566,0.230472773,855.4644346,1665.706786,0.425447851
5,874.9717112,726.8024647,0.754160523,681.8557501,1180.521816,0.676342309,191.7598891,747.3134551,0.690205753,863.2890329,1671.168492,0.911161542
6,875.0099058,726.6670043,0.748919487,681.9241724,1179.983554,0.663026512,191.864161,747.1866798,0.69602263,863.3359213,1671.148827,0.911646366
7,882.8408695,717.7226012,0.102248102,681.5071372,1170.40905,0.656385958,869.2820158,1674.040421,0.127235025,856.91149,1667.664423,0.568700194
8,875.4872761,725.0326726,0.65841639,692.0896162,1153.840209,0.726570487,191.8730521,747.1906939,0.691122532,863.1056032,1671.137136,0.906930327
9,875.7389956,725.294578,0.645744622,707.2671815,1141.725604,0.649724245,191.9252958,746.9995708,0.69312048,863.0053391,1671.313562,0.898974061
10,720.4507864,1140.730204,0.155185491,718.2477751,1135.097086,0.723466098,716.6144395,1142.015637,0.157960951,863.0471344,1665.432299,0.619553804
11,875.6487303,725.3452108,0.626661301,735.6333222,1136.620481,0.796591222,191.8910856,747.17836,0.69585371,862.8333392,1671.175276,0.897241771
12,875.5979185,725.378318,0.624212205,734.2198615,1138.099717,0.723578393,191.8183913,747.2842708,0.693353534,862.9111714,1671.214077,0.897807419
13,721.6392061,1141.803728,0.136536479,723.6599302,1137.409221,0.626152277,717.2410412,1142.323781,0.158166081,862.8193731,1665.227519,0.630442619
14,875.5562105,725.1028287,0.632002532,724.4184107,1131.905646,0.783279538,191.8950524,747.1772809,0.696732044,863.026866,1671.161691,0.900264204
15,875.6263323,725.2243958,0.634680748,726.8701956,1132.144254,0.702660441,191.8869829,747.1967378,0.696210206,863.0546923,1671.163636,0.899889588
16,883.0644994,716.7660007,0.114482492,721.9435925,1133.547515,0.739442885,860.6191034,1676.09117,0.150133431,862.946104,1665.14944,0.623379529
17,875.6935425,725.2474477,0.63217926,721.6196847,1131.505088,0.784855962,192.0830178,747.2072053,0.69620204,863.1935472,1671.228237,0.901793242
18,875.6747742,725.1773123,0.630296528,721.7664523,1130.862014,0.761312723,192.0267639,747.3078661,0.697603881,863.0781851,1671.128767,0.899954021
19,722.3196986,1122.426109,0.133071661,720.8797058,1132.306714,0.669360995,880.5005223,715.2840362,0.236748248,854.9965465,1666.009599,0.464281321
20,875.6130495,725.1528554,0.636078835,719.3123827,1128.597016,0.719587743,192.0148313,747.2640734,0.693799257,862.9017544,1671.054015,0.898465991
21,875.6530581,725.1515379,0.634132326,719.1566892,1128.643201,0.732778251,191.9926219,747.3076482,0.69045341,862.8319321,1671.008944,0.897480547
22,721.4077148,1122.432494,0.122581214,718.5348134,1130.060669,0.671911001,716.2863426,1125.186943,0.165442109,862.7959814,1665.343715,0.631949186
23,875.6400938,725.1844113,0.639111638,717.9683366,1127.873817,0.709593058,191.9686761,747.1740303,0.695087075,862.7114849,1670.985324,0.896074414
24,875.6552792,725.1946177,0.63704133,718.2540007,1127.80161,0.693686843,191.9221592,747.0846043,0.694257677,862.7456994,1670.882795,0.895516157
25,721.3464915,1122.325417,0.118133336,716.7426364,1128.734094,0.703393936,715.5549684,1125.378453,0.171317369,863.9994993,1664.530058,0.534436285
26,875.6784945,725.3590251,0.628264666,717.2821507,1128.063601,0.654051483,192.1690621,747.2286167,0.699039638,863.0322704,1671.278196,0.903282344
27,875.6418409,725.3459238,0.62848419,715.8820557,1128.211373,0.653874636,192.1920738,747.2796412,0.699868083,863.0100765,1671.254869,0.903866887
28,881.9304515,720.2046725,0.108385891,716.1330254,1127.827724,0.746185184,880.4699917,715.319952,0.23817125,854.834866,1666.306723,0.455002069
29,875.615551,725.2799784,0.634733677,715.0051592,1127.350026,0.663141668,192.1378901,747.380259,0.698335588,863.0075626,1671.156263,0.902816772
30,875.6248035,725.3242902,0.632208228,714.8106349,1127.200297,0.660500765,191.9963636,747.3788238,0.693069696,862.9409447,1671.202038,0.903601289
31,883.0889835,716.7981024,0.114121556,714.9037604,1127.268329,0.71989274,860.3759632,1676.075217,0.153332055,862.6234684,1665.187483,0.631745636
32,875.6393471,725.3557397,0.635598183,714.1490399,1126.499017,0.664552808,191.9819679,747.3402963,0.695789456,863.1224761,1671.218817,0.903212428
33,875.6787786,725.3511173,0.630731463,715.0166755,1125.696478,0.668967485,191.9961481,747.3304644,0.693550408,863.2287259,1671.269289,0.903436363
34,883.0764909,716.8247905,0.113732904,713.5211276,1125.922613,0.715833664,860.3415685,1676.052132,0.153403193,862.8542185,1665.077369,0.63186425
35,875.6774578,725.3134097,0.628181219,714.2048135,1124.882737,0.703391075,191.9604268,747.3312745,0.69277823,863.1614952,1671.182381,0.904166222
36,875.6823063,725.3110698,0.627356887,713.7580523,1124.728009,0.711558938,191.9399376,747.3083858,0.69317615,863.1376576,1671.122791,0.903686821
37,883.0631659,716.8138816,0.112641811,712.1826701,1125.141169,0.718331933,860.3240204,1676.068266,0.150923699,862.7796173,1664.998976,0.623219252
38,875.6959524,725.3121995,0.629567623,712.7672024,1123.98315,0.734497905,192.0455954,747.2595463,0.694610357,863.2113419,1671.148353,0.903581977
39,875.4037161,725.4283528,0.623787761,712.1754651,1123.754173,0.738858283,191.3632569,747.4118257,0.681325853,863.0819111,1670.886458,0.899822474
40,883.0464246,716.7761073,0.111824542,711.2431427,1124.340828,0.702564597,700.2025065,1125.788106,0.14430353,855.86081,1667.812723,0.532631516
41,875.4371967,725.4981096,0.623661995,711.0528846,1122.931004,0.750721097,191.3764625,747.367722,0.684815049,863.0160456,1670.975387,0.89800632
42,875.4275408,725.4436042,0.629815519,710.4549515,1122.049922,0.759435177,191.6910949,747.6156535,0.682050169,863.0058451,1671.094867,0.897882938
43,883.0268855,716.7621374,0.111972362,709.7866352,1123.541542,0.677792788,700.4420791,1125.636819,0.166857481,862.8900137,1665.313323,0.618372679
44,875.3714275,725.4143001,0.633070409,710.1282282,1121.560503,0.760570049,191.6519351,747.5074997,0.684830189,863.0341063,1671.116471,0.898884654
45,875.3295441,725.3841951,0.634596348,709.7708371,1121.196484,0.762524664,191.622344,747.4624276,0.684481204,862.971024,1671.081312,0.898645878
46,705.5642009,1125.313425,0.115810484,709.3192294,1123.230966,0.680458248,700.5850096,1125.734943,0.17307508,862.9354086,1665.323197,0.616937637
47,875.3662796,725.3678104,0.63309592,709.6167865,1120.778662,0.772480369,191.5192537,747.4027433,0.686329901,863.1210542,1671.106506,0.898503542
48,875.3662453,725.3386256,0.632029593,709.4436562,1120.473813,0.778657436,191.4428415,747.4147944,0.688292205,863.0821886,1671.162395,0.897418022
49,705.4882668,1125.338462,0.127738297,708.9504986,1122.901875,0.667200565,700.8908072,1125.749784,0.178683698,863.1233578,1665.298756,0.616963923
50,875.4252663,725.3913369,0.635223508,709.3257298,1120.318443,0.778343201,191.4706092,747.4026766,0.686289072,863.207118,1671.25017,0.898359537
51,875.4021845,725.4517754,0.63706392,709.2950262,1120.245947,0.778577566,191.555305,747.4385719,0.68414247,863.2181687,1671.150571,0.897750437
52,705.4562578,1125.320298,0.133858114,708.7893167,1122.742206,0.658743739,701.0842893,1125.795511,0.178369343,863.2488661,1665.214547,0.628857493
53,875.5896749,725.565392,0.63493073,709.0612206,1119.947895,0.780446291,191.6940289,747.1982379,0.687051177,862.9920831,1671.161035,0.898114324
54,875.5825672,725.5459747,0.63375324,708.8812022,1119.768328,0.784689784,191.7076278,747.0470672,0.688749671,863.1294327,1671.258105,0.89892447
55,705.6099373,1125.278624,0.125486612,709.0203643,1122.541706,0.653604805,701.0968919,1125.831829,0.169695944,862.9963856,1665.134187,0.623402119
