coords,ground x,ground y,likelihood,ep x,ep y,likelihood,hmax x,hmax y,likelihood,vmax x,vmax y,likelihood
0,769.536377,746.7008057,0.732665181,494.6313477,1234.688477,0.889980972,149.3636627,752.8929443,0.615713418,762.0597534,1612.908447,0.581099272
1,769.6715698,746.6807251,0.734233975,494.5822754,1234.54895,0.890494704,149.2412872,752.9385986,0.610854983,762.1894531,1613.03064,0.578216553
2,769.6756592,746.677124,0.733345926,494.6068726,1234.574951,0.890054822,149.1924744,752.9095459,0.607655108,762.1499634,1613.126831,0.573534071
3,769.7227783,746.7050781,0.733271599,494.6262207,1234.631104,0.890265703,149.043808,752.9684448,0.603955567,762.118103,1612.994263,0.574603379
4,769.6641235,746.6749878,0.733496904,494.6064453,1234.460327,0.889669418,149.1477661,752.9346313,0.605741739,762.1588745,1612.993652,0.57963568
5,769.7470703,746.65625,0.736420989,494.6927185,1234.364014,0.889054894,149.3803558,752.8104248,0.606084943,762.1814575,1612.955688,0.584551454
6,769.7558594,746.675293,0.734888196,494.604248,1234.45813,0.889087558,149.5428009,752.7722778,0.605569541,762.2620239,1613.039063,0.593277931
7,769.7581177,746.6604004,0.735172212,494.6169128,1234.464844,0.888331294,149.3835602,752.836853,0.606262684,762.269165,1613.03418,0.595434368
8,769.718689,746.7116089,0.73552072,494.5784302,1234.458496,0.888033867,149.3358612,752.9283447,0.607113898,762.1079712,1613.039795,0.589196861
9,769.7176514,746.7347412,0.735898852,494.4150696,1234.554077,0.887502432,149.2012634,753.0194702,0.606780708,762.0296631,1613.114502,0.586533189
10,769.6935425,746.7330322,0.735580206,494.3668518,1234.517944,0.887091875,149.2575836,753.0288086,0.609634876,762.0292969,1613.054688,0.587084293
11,769.6780396,746.72229,0.734567225,494.3606262,1234.471436,0.886742115,149.3690948,752.9451904,0.607358038,761.9642334,1612.985718,0.580798149
12,769.7246704,746.7174683,0.73465246,494.2172852,1234.414185,0.885054469,149.4846497,752.9945679,0.606881142,762.003418,1613.037964,0.587835431
