Ground X,Ground Y,Likelihood
1133.35037,390.037251,0.931333721
hMax X,hMax Y,Likelihood
743.0124714,409.0199494,0.856645942
vMax X,vMax Y,Likelihood
1142.702652,961.6123157,0.735302746
Endpoint X,Endpoint Y,Likelihood
1041.149559,706.2537475,0.908158302
943.4897357,695.3187575,0.892439485
943.038753,694.2800093,0.884202302
1126.226495,709.250468,0.747636557
943.8521947,694.7801886,0.885462403
934.7944841,691.4530759,0.897416949
934.7549279,692.3265075,0.897379398
991.1286048,714.6424832,0.920589328
963.7952175,697.2877083,0.887136757
1071.211089,729.8434401,0.891173482
1089.479162,722.9607607,0.900023401
942.9364476,694.0090055,0.879003644
1138.584653,726.7511039,0.750827909
952.7048159,698.8709059,0.882669568
942.2294261,694.8802824,0.881783605
911.2653713,657.9831352,0.831264973
1121.51946,708.2417582,0.823153973
961.6145589,699.5453367,0.888639212
940.8996823,693.7338877,0.856548429
937.0885825,688.5466456,0.866719663
945.0038493,687.0106959,0.913968205
955.8627248,697.1988387,0.877755105
919.5170178,668.0394101,0.844374955
1024.303961,719.3915515,0.928273082
1039.27491,721.8545504,0.923537731
1107.976571,711.4043329,0.812637746
1131.979259,722.8460209,0.811650991
940.8626652,693.8634205,0.856820583
941.0320199,693.6264715,0.86040926
966.9343603,690.93024,0.891922355
1025.691793,714.1231737,0.917033792
990.8192856,711.0768428,0.904816568
1133.406831,711.9314282,0.500043631
956.002444,701.6125929,0.912116766
960.9805191,699.8557482,0.89615804
950.4631538,699.3544493,0.852497458
1137.128833,713.5419979,0.416048646
1045.737374,727.5725126,0.867991447
937.2245817,673.2250299,0.838959754
964.3309986,698.4220934,0.889480591
1073.850521,717.0158038,0.887938797
1139.935244,719.8311582,0.72069037
945.2574333,695.1020393,0.879063129
995.2333469,704.9370604,0.909767807
1038.132617,708.9712263,0.886472523
