Posture,1cm,,,1.5cm,,,2cm,,,2.5cm,,,3cm,,,3.5cm,,,4cm,
,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y
1,679.4182593,1179.83101,,627.0767497,1105.776196,,1005.125716,647.2816542,,1014.335218,643.5774243,,1041.149559,706.2537475,,493.8282166,1232.923584,,142.9920025,975.8770566
2,786.8971969,1148.777785,,696.2319038,1132.113153,,1017.636279,639.8490548,,1017.154371,647.9005771,,943.4897357,695.3187575,,563.0811157,1232.900757,,146.8388722,992.4390454
3,818.1844547,1171.072949,,830.3279386,1165.745502,,1086.24529,660.7812517,,1074.507814,646.431088,,943.038753,694.2800093,,676.1222534,1247.853027,,156.575418,1029.561855
4,657.8703127,1166.897016,,808.4966936,1155.928647,,1075.581911,651.3780746,,1025.374384,650.246133,,1126.226495,709.250468,,593.3629761,1262.470703,,156.7954845,1012.492989
5,759.6044371,1129.484311,,661.608043,1104.286931,,1016.168594,631.9673982,,1016.940316,625.7153888,,943.8521947,694.7801886,,392.402771,1152.836182,,144.6437073,969.8776874
6,829.5158319,1173.28652,,645.8471066,1147.037411,,1019.931393,655.5757303,,1097.813737,642.8728549,,934.7944841,691.4530759,,417.0895386,1182.078369,,164.6736721,1044.283393
7,810.1801209,1157.465143,,663.5827291,1156.255862,,1096.579708,662.4154804,,1083.675334,643.1293615,,934.7549279,692.3265075,,466.5465393,1215.095825,,161.8065701,1043.24212
8,723.4202588,1183.671025,,692.1388445,1162.91632,,1029.747474,659.2626236,,1046.307315,651.2719447,,991.1286048,714.6424832,,662.2710571,1255.324707,,154.5901005,1016.790054
9,661.976902,1166.162275,,571.2001252,1096.98169,,975.79287,635.2273321,,996.9984921,644.0617735,,963.7952175,697.2877083,,651.0400391,1262.000854,,141.0777736,973.8860159
10,771.8061312,1184.597505,,692.9203672,1170.485092,,1027.403022,660.4861432,,1044.61391,655.3220959,,1071.211089,729.8434401,,465.2622375,1198.630005,,153.1137004,1009.461617
11,654.3478713,1161.700416,,755.2534671,1184.731013,,1059.678889,668.4644784,,1074.098992,656.0449233,,1089.479162,722.9607607,,463.2017822,1189.647949,,158.5524049,1033.877662
12,509.7134994,881.4154389,,187.8366191,699.8378421,,903.0310464,555.8900909,,1021.1751,654.9734726,,942.9364476,694.0090055,,493.6435242,1205.762573,,136.1195717,933.8918571
13,629.4015913,1143.543601,,844.066226,1188.357269,,993.2213812,651.976162,,1095.098469,651.0919633,,1138.584653,726.7511039,,593.920166,1248.112549,,187.2456231,1102.126369
14,820.7339521,1184.932137,,648.6867023,1157.140472,,1074.3357,667.8598919,,1032.880959,655.7413044,,952.7048159,698.8709059,,492.3773804,1228.216431,,163.8842582,1046.393359
15,833.6209831,1169.875299,,645.064855,1157.972943,,1010.057322,654.9400353,,1097.894454,641.2977848,,942.2294261,694.8802824,,495.7711792,1205.678101,,172.1532769,1063.086603
16,663.7995687,1166.663815,,669.0992683,1161.128449,,956.1439718,610.9225357,,1047.330695,652.0417009,,911.2653713,657.9831352,,486.9734497,1232.574829,,139.9454508,957.7152767
17,833.6114902,1156.347358,,629.7948009,1148.58486,,1058.409814,646.9782293,,1030.96179,652.5803832,,1121.51946,708.2417582,,626.9321899,1252.858154,,148.5336102,996.3689309
18,842.1400399,1168.887581,,676.8995992,1157.526788,,1130.555348,658.598282,,1099.001132,638.1998436,,961.6145589,699.5453367,,530.0609741,1244.105225,,149.8032136,1007.385463
19,666.2882098,1172.712841,,860.8712111,1156.505924,,1033.61749,656.5851333,,1043.755566,650.0026411,,940.8996823,693.7338877,,449.2824707,1203.438477,,165.745586,1045.72188
20,667.4441966,1172.753947,,693.943025,1156.685646,,1043.497705,656.3546834,,1046.083156,648.2279077,,937.0885825,688.5466456,,526.3134155,1236.846924,,145.6426625,994.0934017
