Posture,1cm,,,,1.5cm,,,,2cm,,,,2.5cm,,,,3cm,,,,3.5cm,,,,4cm,,,
1,1.6222,2.3033,3.7483,3.0879,1.4243,2.4344,3.5366,2.2642,1.4174,1.2747,2.7151,1.4841,1.1413,1.5923,2.6461,1.5048,0.9848,1.5601,2.332,2.3424,0.994,1.1091,1.9558,1.1735,0.3382,0.4786,1.055,0.451
2,1.422,1.2908,3.4469,3.3778,1.1022,1.3047,3.0787,2.3125,1.2287,0.5591,2.515,1.4703,1.0239,0.9572,2.6691,1.5877,0.9457,0.9549,2.3677,2.6162,0.9181,0.6581,2.4781,1.3852,0.2876,0.069,1.3944,0.5844
3,0.4395,0.2117,2.2273,3.2375,0.2117,0.3152,1.781,2.3033,0.3152,0.0437,1.7119,1.682,0.3336,0.2347,1.8316,1.8201,0.3912,0.2531,1.6935,2.8095,0.3543,0.0713,2.0801,1.5831,0.0529,0,1.2402,0.7064
4,1.3944,2.1169,2.0709,4.2982,1.0561,1.942,1.682,2.7197,1.1091,1.1321,1.1873,2.3401,0.9411,1.4703,1.4772,2.1721,0.8399,1.5324,1.4243,3.3433,0.8283,0.9595,1.4105,1.942,0.3359,0.4326,0.6742,0.8353
5,1.6659,2.8164,3.9209,4.0336,1.4036,2.8095,3.3594,2.5173,1.4749,1.5393,2.699,1.7602,1.162,1.9259,2.7082,1.7856,1.0538,1.873,2.3286,3.012,1.093,1.4358,2.0893,1.4358,0.428,0.6857,1.0584,0.7018
6,0.283,2.4505,0.6719,4.0681,0.0391,2.515,0.6673,2.7128,0.1035,1.6015,0.3014,2.1744,0.0851,2.0157,0.6489,2.301,0.2278,2.0686,0.8399,3.6539,0.1381,1.7188,0.7133,2.4321,0,0.8468,0.1818,1.0239
7,0.0828,1.4381,3.9485,3.7874,0.0092,1.4473,3.0902,2.6254,0,0.7754,2.6852,1.9742,0.0414,1.0147,2.6231,2.0962,0.0736,1.1459,2.4758,3.4353,0.0805,0.9917,1.9259,1.682,0,0.4418,1.0976,0.8076
8,-0.0069,0.1427,0.3428,0.6972,0,0.2853,0.4602,0.4211,0,0.1266,0.3935,0.3014,0,0.3221,0.6121,0.3797,0,0.306,0.5522,1.0032,0,0.2876,1.1252,0.4188,0,0.0184,0.6489,0.3106
9,0,2.4344,1.5532,0.665,0,2.6234,1.4657,0.5361,0,1.6337,1.0838,0.2853,0,1.8868,1.2126,0.3866,0,1.6935,1.0584,0.856,0,1.4174,0.9618,0.2531,0,0.7892,0.3797,0.0437
10,0.1173,1.231,1.7165,2.2181,0.1012,1.2586,1.4496,1.6176,0.0506,0.8951,1.3346,1.0792,0.1726,1.07,1.4864,1.2517,0.1519,1.162,1.3438,2.1905,0.1956,1.1045,1.2724,0.9733,0,0.589,0.5085,0.3797
11,0.0138,0.0713,1.2333,2.1376,0.0391,0.1657,1.185,1.6498,0.0115,0.0138,1.2379,1.1781,0.0874,0.1657,1.2908,1.3047,0.1358,0.1933,1.1666,2.2503,0.1058,0.115,1.2747,1.1344,0,0,0.5798,0.4878
12,2.0824,3.7966,4.1671,0.5062,1.7487,3.5251,3.6539,0.3682,1.5347,2.248,2.9867,0.1035,1.3208,2.3539,2.8946,0.1818,1.1022,2.248,2.2918,0.5752,1.0953,1.6268,2.1629,-0.1519,0.3198,0.8652,1.185,0.0023
13,0,0.1657,0.925,3.4929,-0.0805,0.1588,0.826,2.8831,0,0.0391,0.619,2.2503,-0.0506,0.2002,0.8583,2.4735,-0.0529,0.382,1.0078,3.0603,-0.2623,0.2002,1.185,2.4574,-0.1657,0.0184,0.6213,0.9043
14,0.4096,2.1951,0.7501,3.1362,0.2784,2.1997,0.7823,2.2043,0.3083,1.4082,0.3958,1.7533,0.3428,1.7188,0.6742,1.6314,0.3959,1.774,0.8145,2.9038,0.5522,1.3691,0.4947,1.5232,0.1795,0.8744,0.069,0.711
15,0.6995,1.7717,1.4795,3.8288,0.3889,1.7188,1.2425,2.9567,0.4533,1.1666,0.8122,2.439,0.4487,1.3691,1.0308,2.4137,0.4579,1.5025,1.1827,3.578,0.3543,1.3668,0.7432,2.255,0.115,0.7225,0.1335,0.9549
16,1.1528,0.5983,1.6107,0.0506,1.063,0.6443,1.3875,0.0345,1.2057,0.3843,1.517,0,1.0216,0.6673,1.491,0.0092,0.9319,0.5154,1.2609,0.1266,0.9779,0.6972,1.3047,-0.0391,0.3543,0.2117,0.5246,0.0575
17,1.5624,1.1229,2.3884,4.075,1.2793,1.1022,2.041,2.9913,1.4634,0.5476,1.6797,2.3309,1.1252,0.8283,1.728,2.2388,0.8168,0.8491,1.7142,3.3548,0.9227,0.5062,1.4979,1.9098,0.3843,0.0069,0.6489,0.8145
18,0.3682,0,2.2688,3.6977,0.1266,0,1.7717,2.5219,0.2968,0,1.6245,2.0502,0.2393,0,1.6061,2.2204,0.3705,0,1.5877,3.2214,0.2301,0,1.5555,2.1951,0.0943,-0.0069,0.7593,0.9733
19,1.0308,0.2945,2.2296,4.1464,0.7662,0.3267,1.7119,2.6484,0.8191,0.0736,1.4496,2.2573,0.7294,0.2347,1.5347,2.1813,0.7271,0.2623,1.567,3.4837,0.5683,0.0414,1.5209,2.2296,0.2807,0,0.7409,0.9748
20,0.214,0.0368,0,0,0.1473,0.0713,0,0,0.295,0.0046,0,0,0.237,0.1012,0,0,0.4165,0.0828,0.0023,0.0023,0.3198,0.0644,0.1012,0,0.1611,0,0.0207,0.0575
21,1.0124,0,0,0.4671,0.8283,0,0,0.3543,1.0653,0,0,0.3336,0.8307,0,0,0.2922,0.6811,0,0,0.359,0.7018,0,0,0.3221,0.3543,0,0,0.2692
22,0.2945,0.2071,0.5292,2.9429,0.1795,0.1887,0.5453,2.2043,0.2738,0.0322,0.3728,1.9535,0.2692,0.0782,0.4924,2.1261,0.2485,0.2278,0.6328,2.8601,0.1657,0.0092,0.4464,2.2204,0.1127,0,0.1565,0.8399
23,1.3875,2.4022,0.6742,0.2416,1.2103,2.2964,0.6765,0.2071,1.2862,1.399,0.4142,0.122,1.017,1.7533,0.6282,0.1243,0.9595,1.544,0.6167,0.2876,1.017,1.2517,0.3866,0.0529,0.4165,0.7064,0.0552,0.0989
24,0,1.5163,1.3622,1.4404,0,1.537,1.3162,1.1735,0,1.0538,1.0999,0.7524,0,1.2632,1.2034,0.803,0,1.2632,1.2103,1.4933,0,1.1574,0.971,0.665,0,0.6696,0.3705,0.3014
25,0,1.0792,2.9061,1.613,0,1.0792,2.5311,1.2057,0,0.688,2.439,0.7133,0.0276,0.9503,2.11,0.8307,0.0322,0.8537,1.8638,1.6705,0.0391,0.7961,1.7372,0.665,0,0.2623,0.9089,0.2393
26,1.5255,2.8854,3.6908,4.5858,1.307,2.8141,3.3318,3.1983,1.1896,1.7257,2.5564,2.5426,1.07,1.9742,2.7105,2.3516,0.7478,1.9144,2.3309,3.7069,0.8145,1.3438,2.3125,1.8155,0.2508,0.6075,1.3323,0.6512
27,0.0345,1.2793,0.5446,2.8256,0,1.4059,0.5154,2.0801,0.0023,0.9503,0.2623,1.5555,0.0069,1.3185,0.566,1.7971,0.1104,1.376,0.6834,3.081,0.0644,1.2448,0.7432,1.8086,0,0.6604,0.3014,0.9273
28,0.0276,0.2853,0,0.0506,0.0092,0.306,0,0.0322,0.0299,0.2784,0,0.0299,0.0506,0.3751,0,0.0276,0.1012,0.2945,0,0.1289,0.122,0.6351,0,0.0368,0.0115,0.352,0,0.0828
29,0.3889,1.7833,2.1537,3.3272,0.1749,1.728,1.8431,2.752,0.1795,1.0584,1.5025,2.1813,0.2163,1.3139,1.636,2.1836,0.1726,1.3254,1.5071,3.2237,0.1703,0.9411,1.2333,1.774,0,0.4625,0.4694,0.6719
30,0.8468,1.5739,2.4804,0.8698,0.6696,1.5992,2.0203,0.6328,0.7409,0.925,2.0157,0.3474,0.7432,1.2977,1.9742,0.4694,0.6949,1.1988,1.7303,1.0469,0.6972,1.1505,1.7188,0.3889,0.1634,0.5545,0.8537,0.1979
