Posture,1cm,1.5cm,2cm,2.5cm,3cm,3.5cm,4cm
1,0.35,1.6,1.1,0.9,1.9,1,1.1
2,4.1,5,5,4.2,5.8,4.9,4.7
3,8,9,9.2,8.2,9.9,8.4,8.6
4,11,12.4,12.3,11.7,13.8,12,12
5,14.8,16.8,16,15.5,17,16,15.6
6,18.5,18.9,19,19.4,20,18.7,19.3
7,22.2,23,23.4,23.1,23.8,22.5,22.7
8,25.4,27.1,26,26.1,27.9,26.1,26.3
9,28.9,31.1,30,30.1,32.4,30,30
10,32,34,33.9,33.2,36,33,33.4
11,35.9,37.2,37.2,36.7,39.9,36.5,36.9
12,40,42.1,40.9,40.3,43.2,40.2,40.5
13,43,44.7,44,44.35,47.9,44.1,43.95
14,46.8,46.9,47.8,47.2,51,47,47.4
15,51,51,51,51,54,50.7,51
16,53.6,55,55.5,54.1,60,54,54.8
17,57.5,58.3,58,57.9,64,57.8,58
18,61,62.1,61.8,61.7,68,61.3,61.2
19,64.3,66,65,64.9,72,65,65
20,68,69,68.2,68.2,77,68.1,68.4
21,71.2,73.2,72,72.4,81,72,72
22,75,76,75.5,75.6,85,76.4,75.2
23,79.4,80.6,79.6,79.3,90,79.6,79.2
24,82,84,83.3,83.4,93.5,82.5,82.7
25,86,87,86.4,86.9,96.8,86,86.6
26,90,90.9,90.5,90.2,101,90.2,89.9
27,93.9,94.3,94,93.7,104.5,93,94
28,96.5,98,97,96.8,107.3,96.7,96.8
29,100.4,101.2,100.8,100.75,110.8,100,101
30,104,105.3,104.6,104.9,115,104,103.9
31,107.7,108.1,107.9,108.1,118.8,107.3,107.8
32,110.9,112.1,111,111,124.1,110.8,111
33,114,115.8,114.9,115,127.6,114.8,114.7
34,118,120.8,119,120.9,131.6,118,118
35,121,124,122.3,122.2,135.2,121.3,122.3
36,125.2,126,125.7,125.2,139,125,126
37,128.3,129,128.9,128.9,144,129,128.6
38,132,133.5,132.2,132.2,147,132,132
39,135.2,136.7,136,135.8,150.9,135.8,135.9
40,139,139,139,139,154,139,139
41,142.9,143.8,143.5,143.6,158.7,143.5,143
42,146,147,146.6,146.6,162.2,146.2,146
43,149.8,150,149.9,150.4,165.3,149.9,149.9
44,153.5,154.2,153.5,153.6,169.4,153.3,153.4
Rest,3,39,3.1,2.8,3.7,6.9,3
