coords,Ground x,Ground y,likelihood,ep x,ep y,likelihood,hmax x,hmax y,likelihood,vmax x,vmax y,likelihood
0,850.1715682,734.1880302,0.812708378,676.1017334,1201.801824,0.869291365,152.5543332,725.4452609,0.708495378,816.2889717,1630.723602,0.931015491
1,148.4876559,718.9260912,0.159523308,677.72279,1203.845504,0.79059118,820.6024029,1623.384218,0.132694781,816.8690921,1621.785226,0.353957117
2,146.0809898,711.0227211,0.157476604,675.2610159,1204.061728,0.808119714,810.1949725,1616.120262,0.140593708,810.9606218,1610.622675,0.322428286
3,143.0598834,705.0514943,0.136163294,674.9661031,1202.955614,0.797573388,150.1589985,730.2481728,0.091216356,811.3524969,1611.231119,0.125185907
4,139.7690566,698.595023,0.131490678,675.3001537,1204.61838,0.618576825,673.8520409,1197.283637,0.127415925,675.9359975,1198.239111,0.122094214
5,850.6822288,733.9102187,0.815256,674.450412,1201.370906,0.86899811,152.5896645,725.5200921,0.704850495,816.2648821,1630.887046,0.935427427
6,850.2139078,734.2034965,0.813269734,674.3064005,1201.668371,0.872924387,152.7461262,725.7660521,0.696977854,816.3783114,1630.853469,0.935668588
7,148.1838427,718.6567372,0.15530327,676.127198,1203.45848,0.77938211,820.8530414,1623.155808,0.129363596,817.1522619,1621.175763,0.33849597
8,145.7699237,711.2523907,0.159050882,673.5801127,1203.142489,0.799734116,810.1772876,1616.169947,0.147100836,811.2543497,1610.81949,0.346791327
9,142.959491,705.5094964,0.141592711,674.2988133,1203.166985,0.774373591,675.5933173,1192.974516,0.086472005,813.6864934,1613.696456,0.125427544
10,673.1948539,1200.785558,0.115962058,673.4488106,1201.196161,0.652638078,673.0546677,1198.584478,0.115347296,674.4541724,1198.645319,0.123065114
11,850.8843515,733.7948594,0.809602141,673.2115316,1201.35295,0.846870959,152.6457634,725.5056938,0.709224224,816.160496,1630.957323,0.93396771
12,851.1269414,734.0271482,0.815351009,672.9565485,1201.116386,0.848410904,152.6652098,725.3285024,0.714293242,816.2403457,1631.210668,0.93438834
13,149.1677241,718.746753,0.126168787,673.0687287,1203.395893,0.774529696,143.7156549,719.2663102,0.110797077,814.1064696,1626.00143,0.179822505
14,673.605175,1197.095759,0.136018097,673.9966003,1200.596119,0.643646002,673.2759801,1194.321642,0.143515378,809.4701748,1615.767477,0.257594466
