coords,ground x,ground y,likelihood,endpoint x,endpoint y,likelihood,hMax x,hMax y,likelihood,vMax x,vMax y,likelihood
0,1015.567263,596.7511544,0.682099164,826.8170805,1107.357493,0.81038475,226.240225,573.0581565,0.885373175,920.3544254,1546.537118,0.81289643
1,220.4578938,565.9457761,0.406459332,826.1300753,1104.613659,0.764424562,220.3416044,568.4057937,0.267264724,218.8519752,563.0564802,0.265671372
2,1014.20692,591.4657621,0.568015695,828.4836369,1101.689138,0.67865169,226.37138,567.501539,0.902682006,918.9825256,1540.332418,0.886129916
3,1016.6276,588.933485,0.580292344,827.0682635,1102.279594,0.646982849,226.3210229,567.6914973,0.896773338,918.9653592,1540.265781,0.886569679
4,218.8323451,558.3156114,0.369792402,830.4848852,1105.47514,0.844418168,221.675375,584.5622696,0.243939757,218.5990735,557.436799,0.269148648
5,1014.679277,595.2149094,0.658495545,826.2700644,1104.641548,0.780155778,225.8981814,572.1972446,0.870940328,920.000844,1544.738475,0.852760911
6,1014.576776,595.3573114,0.659297705,826.9639363,1105.548934,0.782799721,225.9024878,571.9542637,0.866444468,920.085834,1545.032155,0.843842685
7,218.3870219,563.2016189,0.37537989,830.6856835,1106.314175,0.819349349,223.156075,574.0082933,0.246461213,218.011474,561.2326987,0.269533932
8,1014.002983,591.8755789,0.578487515,826.8900332,1102.226627,0.654047906,225.6666439,567.6717002,0.894981563,918.9303088,1540.187593,0.886605382
9,1015.755272,588.1960602,0.604278028,829.1382065,1100.924838,0.674197376,225.5467389,566.8485632,0.906991541,919.1310544,1539.650588,0.884435296
10,218.2855455,557.1186509,0.396441698,830.1770337,1102.793805,0.821917415,222.6704569,568.6674246,0.286777854,218.5971037,556.9799829,0.2901375
11,1014.932719,585.8191476,0.703891754,829.0366955,1099.248151,0.698275328,224.8185141,564.2632411,0.941374183,919.3220804,1537.38367,0.845884681
12,1014.856228,583.9372909,0.719222069,828.6078157,1097.090505,0.679498494,223.7893839,562.2835367,0.943713486,918.9702671,1535.113916,0.832152069
13,216.94901,554.7374212,0.399482161,826.7885768,1097.076242,0.822931767,219.8969626,565.2331539,0.248807013,216.4157199,551.7417006,0.236762226
14,1014.303646,580.6915722,0.692282259,826.4938231,1092.937706,0.796782136,223.5177746,558.7402515,0.904229403,918.8275027,1531.654551,0.75009352
15,1013.685356,579.071351,0.657552361,827.4183707,1090.793514,0.815295577,223.3405967,556.8555126,0.875994682,921.0571151,1530.059353,0.824344814
16,216.2071258,547.984271,0.397548914,830.5893822,1091.484266,0.818223953,221.0435157,558.6190374,0.28927052,216.1726301,546.7176988,0.288360983
17,1013.798757,577.0095291,0.590633392,829.1296654,1089.606544,0.763200641,223.1030669,556.1246648,0.844095588,920.6969213,1528.040694,0.863632083
18,1013.676459,577.0087318,0.609284222,828.8260422,1089.969094,0.755192101,222.5802698,554.3734756,0.839106321,920.2536726,1527.821522,0.870772004
19,215.2298288,546.3501797,0.430294603,829.6591682,1091.873285,0.818566561,218.9488733,557.7156087,0.243481666,216.2023821,544.4535782,0.269736141
20,1013.105123,576.6168513,0.598051667,827.6634264,1089.66989,0.779467463,222.4395933,554.0703168,0.841815948,919.6709318,1527.720116,0.873192847
21,1013.587042,576.0204854,0.590441227,827.6021333,1089.208079,0.765957117,222.2763071,553.8272781,0.852507591,919.8752558,1527.172937,0.877581954
22,214.8323195,545.2860229,0.407693803,829.5827832,1091.207706,0.822063029,217.8438934,570.174031,0.229818702,215.8815405,543.3121455,0.273427188
23,1013.17394,577.2226934,0.60142684,829.5140729,1089.559706,0.754620731,223.0144787,556.4826231,0.848942637,919.9728079,1528.417072,0.858658135
24,1013.083349,577.3298042,0.599280775,827.742332,1089.897827,0.786558032,221.5007739,554.5883293,0.826845169,919.9240999,1528.369745,0.862693191
25,214.6602429,546.7106776,0.397861123,828.7992053,1089.273493,0.784649849,218.8734305,557.0520862,0.254581004,214.3511657,543.8657804,0.251732856
26,1015.115889,572.9473104,0.604900837,826.816813,1087.208418,0.717054248,222.4531255,552.8450594,0.866176963,919.2179477,1525.162949,0.893717051
27,1013.651612,577.0370295,0.60101676,828.5624094,1090.229138,0.762758255,222.9780383,556.2543817,0.857061863,920.1606026,1527.986934,0.875765324
28,215.8220266,548.902733,0.356434703,827.6641741,1091.422242,0.830408692,216.4499862,572.5350906,0.24168396,215.1154026,544.9893947,0.253691107
29,1013.523918,579.9746078,0.641444921,827.9511085,1092.503397,0.781387091,222.5247717,557.1184387,0.875253141,920.0695748,1531.141041,0.805598438
30,1013.210259,576.2338212,0.587210774,827.6591582,1088.766785,0.775025904,222.0584288,552.2488542,0.881016254,920.2192869,1526.478836,0.884397626
31,215.4429808,545.3652363,0.416028649,827.991673,1086.90803,0.819926441,219.2840846,554.9534919,0.240656972,215.217639,541.8271613,0.252295941
32,1014.313728,569.8983846,0.691681862,829.0518532,1084.614426,0.670498312,222.2861447,549.3736026,0.911158502,918.950212,1522.011722,0.870405316
33,1015.044731,571.032599,0.674593568,826.6632042,1085.71689,0.657702625,221.8836875,551.3039284,0.884227991,918.5672109,1523.865465,0.885419607
34,214.6989095,544.1687172,0.344201684,829.6079078,1088.916801,0.818993151,215.4148225,567.0860026,0.243652999,213.2743077,540.3846622,0.271329284
35,1013.492819,577.5414107,0.599636078,827.8364682,1090.2817,0.792808294,221.5493159,554.4878197,0.836967349,919.2816739,1528.412046,0.85631454
36,1013.512002,576.5498171,0.584391236,828.1827898,1089.153978,0.760583401,221.4060307,553.2540765,0.853431821,919.205555,1527.492124,0.874755383
37,214.1453294,545.3860368,0.385117114,828.5832605,1089.852345,0.814502835,218.9157207,556.1834245,0.258623838,214.6550719,542.9958749,0.260032713
38,1014.540472,571.6308575,0.666359603,826.6222448,1086.243902,0.669845939,221.8918309,551.3627944,0.891088843,918.5875845,1524.343531,0.887175441
39,1014.37339,571.972126,0.65590626,826.9305778,1086.870472,0.664946318,221.7494059,551.7994971,0.880167246,918.8166049,1524.482451,0.885121942
40,213.8387684,542.5179386,0.367843062,824.8697492,1083.172246,0.777624726,215.9644312,567.8099837,0.244081587,213.9153852,540.9678688,0.284487545
41,1015.124892,573.2098885,0.566274941,768.9651062,1045.101472,0.671631455,221.3499222,552.8463197,0.851941288,918.8281565,1526.071124,0.889243305
42,1014.758388,576.0069475,0.426421583,701.3691154,981.5685687,0.300065279,221.3397894,552.9436388,0.855223,919.3616304,1526.191948,0.884270191
43,1014.023583,580.1188049,0.352223396,604.653996,885.6584377,0.414346546,221.3306732,552.490993,0.869322658,918.8466115,1525.326851,0.889625847
44,1014.342052,581.0013299,0.329368323,597.8118143,873.571682,0.473307967,221.6767392,552.2445259,0.88188833,919.0733716,1524.789892,0.888210773
45,215.6480197,544.65678,0.352964461,621.5474043,901.5108614,0.55311197,215.8094355,548.209806,0.250873208,213.8444159,541.9166818,0.245608896
46,1014.961957,580.5951844,0.338374019,639.0441155,923.9488349,0.400654137,221.8647919,552.06427,0.89396733,918.7708364,1525.132672,0.888842821
47,1015.682572,581.226432,0.331445813,622.44941,911.8397994,0.538264811,221.8241992,552.0086527,0.89289701,918.8041456,1525.691288,0.890991211
48,1015.80986,581.4167382,0.324331224,623.6571913,903.4064178,0.360849291,221.7333288,552.1206112,0.884320736,918.6905825,1525.635412,0.890637159
49,1015.825675,581.4911227,0.339244008,622.3008752,904.2179844,0.481524557,221.6813402,552.3852649,0.879030943,918.7464058,1525.344631,0.887571096
50,1015.157516,580.6957574,0.350586236,625.970998,909.5519949,0.437397271,221.9836712,552.1259851,0.880418539,919.4060361,1524.139425,0.876422882
51,1015.2495,580.5350219,0.352704287,632.8191071,914.4841028,0.478369683,221.7684832,552.2480364,0.877816916,919.3472853,1523.977382,0.878235698
52,1015.137539,580.7495831,0.343695223,623.1026459,905.5786884,0.473122418,221.7417946,552.0763149,0.882147789,919.282356,1524.46465,0.881628871
53,1015.081417,580.6596302,0.332416654,631.6331787,914.231051,0.490648896,221.6820264,552.515532,0.879437804,919.3276057,1524.525935,0.877301276
54,1015.337391,580.9293694,0.31802386,624.8534443,909.5618675,0.408774257,221.4086905,552.8292522,0.877055883,919.1040006,1524.920758,0.880326569
55,1015.455884,580.9678591,0.320529073,633.8326502,914.9313833,0.500382304,221.5466928,552.7868862,0.880691886,918.7833474,1525.313082,0.88647604
56,1015.451406,580.8809797,0.326550156,633.6781816,914.1871243,0.488341659,221.8084226,552.4908156,0.882360339,918.7804782,1524.75491,0.883453012
57,1015.422614,580.6314154,0.325527728,635.2435045,914.7832688,0.484002769,221.8331661,552.3233681,0.882666647,918.6957023,1524.415617,0.880706191
58,1015.519799,580.742379,0.318505585,634.6002693,915.0587986,0.475805759,221.8083696,552.3712678,0.885047257,918.5958257,1524.463619,0.884845734
59,1015.532105,580.759686,0.310840786,634.2124081,915.130226,0.48606205,221.8420548,552.5075951,0.883066893,918.7308719,1524.539598,0.885712504
60,1015.620724,580.8907127,0.314669311,635.0306015,915.0455106,0.488376528,221.7396212,552.249423,0.881386578,918.7479064,1524.814677,0.884300113
61,1015.467791,577.7508597,0.320016801,633.8979864,915.2787209,0.440262109,221.8202019,552.1051531,0.883534551,918.7906187,1524.788022,0.881839514
62,1015.277343,580.123654,0.3325212,625.3747532,909.0727977,0.379659235,221.8076301,552.1198845,0.881740689,918.4349277,1524.845774,0.881879985
