coords,ground x,ground y,likelihood,ep x,ep y,likelihood,hmax x,hmax y,likelihood,vmax x,vmax y,likelihood
0,891.8406701,617.369524,0.752345443,706.8923682,1125.897897,0.825172246,112.9053433,597.5713651,0.706430733,829.5088825,1596.473092,0.615257323
1,104.1813368,591.2682525,0.34660691,707.0332217,1125.934848,0.712201536,110.8869128,591.5279533,0.199242026,826.0204599,1574.787631,0.274831742
2,93.01370001,585.0850557,0.27323541,707.7604766,1124.336864,0.848068893,105.6298246,583.3698177,0.200595111,106.4785509,587.3177037,0.236928821
3,891.7721863,617.3176479,0.745543003,705.1079502,1125.228204,0.832275152,112.6240029,598.2436242,0.68902576,829.4364452,1596.469951,0.61322397
4,891.7295942,617.3854094,0.736233652,704.8667727,1125.764037,0.829169989,112.5390751,598.524019,0.690977335,829.3984528,1596.452303,0.61770314
5,105.0028616,592.2307578,0.340786874,706.2112875,1127.227118,0.711920977,110.0588641,592.6772021,0.194484591,114.8719043,594.4479446,0.249620229
6,891.7272573,617.5862617,0.7365098,704.8324568,1126.164416,0.827281237,112.485698,598.8647387,0.681122839,829.3254023,1596.731263,0.626758993
7,891.5153694,617.5995245,0.740721583,704.7426422,1126.539788,0.820630074,112.4651351,598.7336802,0.68658483,829.3549347,1596.579451,0.626946092
8,105.0766823,592.2051214,0.348190486,705.7938194,1127.343476,0.699649334,109.7292755,592.823068,0.193983287,115.223869,594.6281471,0.245059103
9,891.8576021,617.3605957,0.742705584,703.2881536,1125.520394,0.830694437,112.6271546,598.1015882,0.698612392,829.4013462,1596.389099,0.616085708
10,892.190568,617.7461424,0.743399501,702.8623309,1126.52203,0.821937919,112.3795321,597.9333576,0.695112288,829.2074165,1596.441981,0.606651425
11,104.1180753,591.3453668,0.345175683,702.1189408,1126.101873,0.649152756,110.3318582,591.8288438,0.196746439,826.0217809,1575.049691,0.275281489
12,92.97795057,585.1521544,0.27152288,702.6488361,1125.301903,0.854684949,105.5898914,583.4961696,0.195830822,106.3670014,587.6366072,0.234741151
13,892.193306,617.7373428,0.736113667,700.9705839,1126.424313,0.818489552,112.3368113,598.3965776,0.673765659,829.9285417,1596.602891,0.604553938
14,892.1472979,617.8777542,0.725174069,700.5920711,1126.643926,0.81316781,112.3101802,598.5973258,0.669965446,830.1143241,1597.113836,0.61015898
15,104.174459,592.3225515,0.349425912,701.0514767,1126.903368,0.695687115,110.5320907,592.8428668,0.200849116,825.8666044,1575.838902,0.284610033
16,93.26496696,586.1042145,0.270555615,701.8050933,1126.453447,0.86124754,813.56587,1570.323858,0.197345436,106.5320045,588.5429504,0.231158078
17,82.83238602,580.1447758,0.329559356,700.6747837,1126.872775,0.775807858,116.1180954,602.7360185,0.175965011,110.5980735,598.7851272,0.185644269
18,892.2947779,617.9484253,0.724621296,700.1412592,1126.717654,0.812019706,112.5132375,598.6462951,0.671503186,829.3346148,1596.827407,0.613993645
19,892.3657331,617.686583,0.736446261,699.7197342,1126.301205,0.811395526,112.4612808,598.5634952,0.672688544,830.0415616,1596.871117,0.605559528
20,105.2221862,592.4073262,0.366188109,699.3846147,1127.644294,0.76009202,109.8339229,592.9110663,0.200039774,115.3828249,594.4703395,0.238653451
21,892.3473263,617.591207,0.736560524,699.2623482,1126.039855,0.815762639,112.6004741,597.9073043,0.686609685,829.258378,1596.323429,0.606743455
22,892.4486704,617.5711989,0.73723197,698.5583868,1125.994043,0.809157133,112.471843,598.0404139,0.686252952,829.393528,1596.408842,0.603967488
23,105.1587785,592.322975,0.362766385,698.8436186,1128.1898,0.777254522,109.8300114,592.8484692,0.199487239,115.3373441,594.4304266,0.254167855
24,892.0416965,617.5660739,0.722056746,700.1771536,1126.459418,0.817164898,112.6777511,598.4804029,0.664284766,829.3233719,1596.584572,0.602131128
25,892.0151644,617.5944076,0.718538165,699.8846502,1126.89149,0.810965061,112.5434828,598.7213914,0.661216736,829.2075415,1596.852125,0.62684685
26,104.8489456,592.3997768,0.348309278,699.018545,1128.022739,0.765862823,110.1394253,593.0189627,0.196719587,114.9616194,594.7598841,0.262231946
27,891.8081379,617.8333864,0.722419143,699.0589933,1126.93134,0.800081253,112.4272113,599.0390742,0.655222416,829.3947067,1597.080537,0.627430618
28,891.7158985,617.6085749,0.729609609,698.8270197,1126.633589,0.807450294,112.6736968,598.3765097,0.663561344,829.3108311,1596.815163,0.612047315
29,105.0854784,592.3896852,0.363290906,698.2907787,1127.700152,0.770934641,109.8919723,592.9231002,0.200734228,115.1098468,594.5709631,0.254115403
30,891.4066653,617.5990973,0.738836527,698.9603224,1126.14377,0.811330914,112.8925252,597.7289096,0.680690587,829.2988539,1596.311063,0.600169897
31,891.4500484,617.5468698,0.738446712,698.67138,1126.088019,0.80959177,112.8880761,597.7070042,0.686998904,829.2710085,1596.295775,0.596825302
32,104.1283318,591.2733834,0.355505884,698.1792905,1125.608294,0.705767393,110.6757612,591.8476011,0.202129036,826.2723424,1575.079543,0.265699506
33,93.0268898,585.1022861,0.273496687,699.7176323,1125.501882,0.854897857,105.6968641,583.2789196,0.200937241,106.121063,587.3291082,0.241638601
34,891.7286248,617.4095087,0.74114114,697.7183189,1125.992889,0.808470726,112.8053079,597.7189873,0.682233095,829.2173948,1596.278237,0.604233325
35,891.875577,617.5784545,0.733472407,697.921442,1126.176936,0.810539842,112.6305957,598.3838725,0.668300033,829.2065516,1596.668167,0.610080004
36,104.889894,592.3791171,0.348251104,697.0329664,1128.193057,0.783950686,110.1055565,592.7692441,0.195623785,114.973339,594.7136118,0.261015415
37,891.8346424,617.7756066,0.718772471,696.8821688,1126.820886,0.782796264,112.3061295,598.780292,0.660734117,829.1348839,1597.242042,0.631271183
38,892.5402555,617.5408101,0.745361328,697.458106,1126.266759,0.792230725,112.5543749,598.5992594,0.680194855,829.408227,1596.86424,0.611659229
39,105.1208265,592.5436167,0.367097616,696.8544307,1127.848511,0.788801432,110.1460834,592.9365731,0.198028505,115.5128834,594.3548756,0.259339035
40,892.9421749,617.3806086,0.758515835,695.1745245,1123.430833,0.829299808,112.6848102,597.9310094,0.689033747,829.4399424,1596.352048,0.593125463
41,894.0763378,616.2878847,0.780704975,664.3011794,1101.554963,0.780074835,112.7510068,597.8372246,0.696210146,829.3687782,1596.255824,0.595219374
42,104.0263325,591.3579699,0.378928006,583.5834329,1041.929036,0.757843018,111.034359,591.6815315,0.215452194,114.6035908,593.2657499,0.273838758
43,94.70223141,585.1029905,0.282571614,509.2112403,984.0933732,0.587484539,104.0041828,585.043913,0.178939551,107.5495127,587.5567071,0.194407612
44,897.0862904,613.2729557,0.832591772,537.6747398,1004.496657,0.836992383,112.8557684,598.0068672,0.691159964,829.5723181,1596.110507,0.54960376
45,897.1991539,613.9004211,0.8218894,554.8812904,1021.53234,0.825150251,112.7781692,598.1177731,0.683780551,829.700161,1596.29148,0.553110957
46,105.1340119,592.2084406,0.387464792,539.2378148,1009.491571,0.766809821,110.5772257,593.3220266,0.206499785,115.7763268,595.1294568,0.285139978
47,897.2721763,613.7298349,0.829279304,529.1527238,1000.969412,0.713575959,112.5373459,598.6418176,0.67277652,829.5156145,1596.505328,0.570301235
48,897.2802808,614.0365236,0.825728297,539.0406179,1010.324668,0.826580286,112.5365748,598.6030939,0.673437238,829.445487,1596.58733,0.578182817
49,105.1294224,592.2006901,0.38061887,542.5054865,1012.062563,0.71481216,110.5114751,592.9767324,0.20749265,115.3803583,594.9334173,0.280399352
50,897.5083942,613.1093384,0.830536962,534.325305,1005.774446,0.778133988,112.8005269,597.6094096,0.709858954,829.4838638,1595.943441,0.556765318
51,896.937875,613.5606571,0.82127279,536.3687296,1007.428759,0.811028659,112.8034244,597.7803993,0.701717854,829.4729996,1596.027185,0.552978218
52,104.1206083,591.2494984,0.359065056,537.9715352,1008.691621,0.832975745,110.8622093,591.8676978,0.203184783,826.5165069,1575.048881,0.268950194
53,93.25600243,585.1549188,0.278372288,539.0663452,1006.702853,0.787419915,105.5971537,583.2297992,0.198739737,106.3381363,586.9934199,0.235219985
54,896.4715395,613.4822181,0.812529802,538.2104149,1008.445044,0.839375675,112.453505,597.9252027,0.69440043,829.4941797,1596.334507,0.547026694
55,896.2348864,613.6780663,0.804639339,537.8575172,1008.856678,0.835997939,112.3522141,598.3077381,0.679636955,829.4200783,1596.536673,0.55427593
56,104.9934704,592.3916472,0.363739729,537.2294149,1010.26094,0.82310915,110.1225319,593.0444087,0.193985075,115.5009456,594.6637607,0.259490728
57,896.3381052,613.7277002,0.808830619,537.8551254,1009.065336,0.829766393,112.4012978,598.3888834,0.674778759,829.4253531,1596.59284,0.562774658
58,896.1906519,613.8146589,0.808901429,537.1151428,1008.891065,0.824434102,112.3243515,598.453444,0.673689663,829.3375893,1596.592595,0.561669886
59,105.0563042,592.3267264,0.358086884,536.8171755,1009.980299,0.813986421,110.113584,592.8891361,0.19392696,115.4935702,594.5117133,0.254515082
60,896.3104684,613.3415205,0.810655713,537.5951414,1008.2763,0.819279313,112.5433252,597.5764797,0.693294525,829.494668,1596.419515,0.551899135
61,896.2184618,613.1409084,0.808795393,538.1431494,1008.109884,0.82551378,112.5875492,597.6406332,0.692960441,829.3793201,1596.217064,0.550494492
62,104.0547602,591.1650899,0.351940632,537.6531604,1007.932695,0.84191376,110.6801424,591.8635268,0.204720587,826.379135,1575.367912,0.264325738
63,93.25702,584.9989641,0.277682245,540.5717306,1007.529036,0.809185982,105.4190364,583.580405,0.196151227,106.4755464,587.516892,0.223860115
64,895.8719425,613.8556502,0.795556307,538.373539,1009.000435,0.832889676,112.4033899,598.204875,0.672946095,829.4882936,1596.566358,0.564121246
65,895.8698058,613.833585,0.794717193,538.0857334,1008.995058,0.826410174,112.3795733,598.174674,0.673778176,829.4192705,1596.523865,0.562260032
66,104.9501234,592.2128602,0.360892236,536.7494016,1010.495536,0.804669857,110.0161657,593.0843906,0.195173949,115.3644134,594.7881954,0.256015003
67,896.4646959,613.8020438,0.813594222,538.4080963,1009.293841,0.836092949,113.0213537,597.9367901,0.684121192,829.5148916,1596.564754,0.566381991
