coords,ground x,ground y,likelihood,ep x,ep y,likelihood,hmax x,hmax y,likelihood,vmax x,vmax y,likelihood
0,774.4162495,657.6855924,0.827965021,541.632412,1174.639135,0.667028904,123.0123906,658.1552424,0.625785351,741.458937,1520.880595,0.667039573
1,759.270247,651.3858332,0.577871025,540.9923081,1175.954959,0.756070256,121.1746345,656.8815794,0.310324311,116.1797709,653.977164,0.20395115
2,774.503994,656.9226332,0.822443843,542.2188292,1177.738566,0.672073305,123.1660614,656.9289458,0.63037014,740.4480597,1519.39198,0.664497197
3,774.5839365,656.8677917,0.817649782,542.8162198,1178.66985,0.707568169,123.7094695,658.1723826,0.625281274,740.4472245,1519.371113,0.668854237
4,759.4922175,650.397405,0.568224192,541.926096,1176.595755,0.728862882,120.3800225,656.4836297,0.30736506,115.7779737,652.7873688,0.194696009
5,755.3024229,643.5212994,0.530492961,106.0521872,645.0073036,0.15271762,114.3359036,646.1519032,0.191683054,116.0591047,650.1638808,0.148848474
6,774.6896775,657.2666516,0.831386447,542.7320676,1177.046277,0.654213965,123.3195715,657.5850728,0.630313754,741.4184954,1520.491108,0.663773358
7,774.6976542,657.1538188,0.819203615,542.8485894,1177.402842,0.671792805,123.4267612,657.6414549,0.616930008,740.4175811,1519.742136,0.661301792
8,760.0149074,651.6965743,0.548029959,542.0830593,1177.940589,0.724880576,120.7069516,656.218626,0.344590098,115.6470442,653.866318,0.235421419
9,774.5445588,656.7031465,0.811601758,543.3762803,1178.293483,0.707992196,123.132165,657.1973116,0.63239342,740.4775467,1519.395925,0.669882357
10,774.5354536,656.6941774,0.812908173,543.486917,1177.967991,0.704822958,123.5908749,658.1466585,0.625659406,740.5778119,1519.422141,0.665527463
11,759.6140528,650.3810622,0.561800599,542.0569229,1175.994912,0.727459192,120.2865496,656.8486719,0.30618006,115.7783726,652.6079159,0.186998934
12,755.4280527,643.4236764,0.535705328,106.1225986,645.0517584,0.152785391,114.3108711,646.1033556,0.190434217,116.1596425,650.0297656,0.147673368
13,774.4261081,656.6896431,0.817705035,543.584806,1177.740724,0.701847613,123.462451,658.1476396,0.621358216,740.4788615,1519.439847,0.669360042
14,774.5206456,656.6003473,0.81550312,543.5015612,1177.730559,0.696930051,123.3975675,658.1234254,0.620392859,740.5049281,1519.451737,0.670328736
15,759.4510584,650.6484178,0.56222409,542.5499773,1176.556798,0.712382257,120.8546746,657.0612192,0.319433987,115.8330885,653.0183103,0.20083487
16,754.7556801,642.9285443,0.543137252,106.0521188,645.2140141,0.146328866,114.4185176,646.1111057,0.184207231,115.8930814,650.1631608,0.145074099
