coords,ground x,ground y,likelihood,ep x,ep y,likelihood,hmax x,hmax y,likelihood,vmax x,vmax y,likelihood
0,1117.064838,392.126595,0.872630179,940.482664,627.2584372,0.866023302,738.3510308,307.1833621,0.867858529,1073.140376,790.5011933,0.818921685
1,726.2678852,295.8869023,0.101793557,940.8452426,628.5979051,0.929468274,733.9294746,302.7723675,0.32154581,733.6484658,299.3622607,0.451716125
2,1117.137986,392.0820665,0.876039267,940.5455213,627.167517,0.867038846,738.3575363,307.1143329,0.866536319,1073.193605,790.4723384,0.810573936
3,1117.220078,392.1211519,0.877104759,940.5568215,627.1305459,0.867850661,738.3824619,307.0335576,0.868334591,1073.091649,790.4007165,0.812032819
4,726.2984395,296.0479231,0.103064984,940.8634899,628.4908131,0.928286493,733.8856075,302.7299614,0.325858533,733.6897268,299.3961456,0.453695595
5,1117.211905,392.0977402,0.875585318,940.5404627,627.1536378,0.868432343,738.3421764,307.0146427,0.871050358,1073.112674,790.4482183,0.810218334
6,1117.170622,392.1048503,0.878954768,940.5739484,627.1951429,0.868692815,738.3298273,306.9245731,0.876250982,1073.106768,790.4596376,0.809309363
7,726.4411712,294.7022715,0.098590702,941.0113493,628.9529368,0.920569181,733.60088,301.8476253,0.3306427,733.7269784,298.8565484,0.443954259
8,1117.157965,392.0141115,0.8779006,940.611986,627.1861921,0.868620276,738.3614241,306.9496728,0.875922799,1073.105441,790.4297106,0.808976352
9,1117.1913,392.0197806,0.878448069,940.6236861,627.2205189,0.868533373,738.3542532,306.9635268,0.876905322,1073.048757,790.3912981,0.81070596
10,726.4937406,294.6469545,0.099175751,941.0364845,628.9991593,0.919965386,733.5825801,301.8411002,0.329155833,733.7409902,298.8876595,0.443448782
11,1117.119567,392.0045633,0.87678051,940.6485404,627.1797855,0.870566249,738.3055686,306.9270133,0.874604881,1073.053092,790.3943021,0.809917212
12,1117.057729,392.0848541,0.875828862,940.6390989,627.2033974,0.868115902,738.2752655,306.9142857,0.874673963,1072.954108,790.390723,0.813207388
13,726.5011225,294.6268854,0.098677397,941.0334332,628.9627606,0.919229746,733.5593331,301.8143988,0.328378975,733.7423148,298.9183434,0.440959156
14,1117.093297,392.100976,0.875927567,940.6315521,627.2063953,0.868403196,738.2830582,306.9083008,0.875013351,1072.945931,790.3850124,0.812906146
15,1116.897694,392.2075257,0.872595251,940.5573829,626.9637233,0.872062802,738.1195525,306.9000686,0.867899358,1072.848238,790.5202513,0.812556028
16,726.346561,294.4948096,0.097750694,942.9693999,628.3119861,0.883797526,732.9087459,301.7336292,0.299976498,734.0945499,299.7266155,0.444547743
17,1116.895729,392.1218781,0.873993754,940.5565108,626.8944427,0.871287346,738.120124,306.8758693,0.870780945,1072.837545,790.4847534,0.811594844
18,1116.918987,392.0526209,0.875156999,940.6102457,626.8477275,0.870977283,738.1236209,306.8420786,0.872266948,1072.839525,790.5176256,0.811557829
19,726.3345547,294.516861,0.098294258,943.0238152,628.3416824,0.882945538,732.9658685,301.7433496,0.300926328,734.0871058,299.7242683,0.445562541
20,1116.881558,392.1717629,0.873373389,940.5822089,626.8488915,0.87027061,738.1143799,306.8182533,0.872010589,1072.888957,790.4841938,0.81248492
21,1116.848968,392.1897826,0.872561336,940.6928263,626.8463751,0.871038437,738.1232724,306.7961928,0.871632218,1072.874932,790.5160341,0.812795043
22,726.3106871,294.5357852,0.098378837,943.0391676,628.3563808,0.882009804,733.0119978,301.7531433,0.30113849,734.0662265,299.6718788,0.446080208
23,1116.853395,392.1627331,0.872832656,940.6221542,626.8550391,0.871639967,738.1284125,306.814924,0.871672392,1072.87842,790.5676572,0.809890032
